18617800|000078BE|00000ACE|\snd\adx\mev\s000400_20_5can.adx
1861F800|0000C2EC|00000AE0|\snd\adx\mev\s000400_21shi.adx
1862C000|0000835C|00000AED|\snd\adx\mev\s000400_22miy.adx
18634800|000054BE|00000AFA|\snd\adx\mev\s000400_23shi.adx
1863A000|000066AC|00000B07|\snd\adx\mev\s000400_24can.adx
18640800|0000A1AA|00000B14|\snd\adx\mev\s000400_25shi.adx
1864B000|000069A0|00000B21|\snd\adx\mev\s000400_26miy.adx
18652000|00005B00|00000B30|\snd\adx\mev\s000800_01miy.adx
18658000|0000873A|00000B3D|\snd\adx\mev\s000800_02shi.adx
18660800|0000D654|00000B4A|\snd\adx\mev\s000800_03miy.adx
1866E000|0000C80E|00000B5E|\snd\adx\mev\s000800_04_1shi.adx
1867B000|00005344|00000B68|\snd\adx\mev\s000800_04_2shi.adx
18680800|0000E440|00000B7A|\snd\adx\mev\s000800_05can.adx
1868F000|0000140E|00000B87|\snd\adx\mev\s000800_06shi.adx
18690800|0000A6A8|00000B9B|\snd\adx\mev\s000800_07_1doc.adx
1869B000|000060A0|00000BA5|\snd\adx\mev\s000800_07_2doc.adx
186A1800|0000CD42|00000BB4|\snd\adx\mev\s000800_08_1shi.adx
186AE800|000050AA|00000BBE|\snd\adx\mev\s000800_08_2shi.adx
186B4000|00005A3A|00000BC8|\snd\adx\mev\s000800_08_3shi.adx
186BA000|00007354|00000BD7|\snd\adx\mev\s000800_09_1doc.adx
186C1800|0000B266|00000BE1|\snd\adx\mev\s000800_09_2doc.adx
186CD000|00001BDC|00000BF4|\snd\adx\mev\s000800_10shi.adx
186CF000|00005D1C|00000C01|\snd\adx\mev\s000800_11doc.adx
186D5000|000033C4|00000C15|\snd\adx\mev\s000800_12_1can.adx
186D8800|00007744|00000C1F|\snd\adx\mev\s000800_12_2can.adx
186E0000|00006946|00000C31|\snd\adx\mev\s000800_13doc.adx
186E7000|000110E6|00000C3E|\snd\adx\mev\s000800_14miy.adx
186F8800|0000E53C|00000C4B|\snd\adx\mev\s000800_15shi.adx
18707000|00004F66|00000C58|\snd\adx\mev\s000800_16miy.adx
1870C000|0000420A|00000C6C|\snd\adx\mev\s000800_17_1shi.adx
18710800|0000A08A|00000C76|\snd\adx\mev\s000800_17_2shi.adx
1871B000|00005878|00000C88|\snd\adx\mev\s000800_18miy.adx
